ID,PhoneNO,Account No,business name,new bsuiness type,Bus. cate,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,Suburb, 2021  Current Bill ,ACTUAL ARREARS, 2021 Outst bal. , DIVISION ,PAYMENTS
2865,20200003339,AYW13131006005,JOB 33,SALE OF COMPUTER/ ACCESSORIES,C,28,209,1025,1025,1025,1025,EAST LEGON,270,270,540,13,0
2866,20200003340,AYW14201016001,TECHNOLOGY DISTRIBUTIONS GH. LTD.,SALE OF COMPUTER/ ACCESSORIES,B,28,209,1024,1024,1024,1024,ROMAN RIDGE,910,910,1820,14,0
2867,20200003341,AYW14103006001,FAIR GREEN LIMITED,SALE OF COMPUTER/ ACCESSORIES,B,28,209,1024,1024,1024,1024,DZORWULU,910,910,1820,14,0
2868,20200003342,AYW14172004001,GHANA PETROLEUM MOORING SYSTEMS LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST RES. AR,3787.2,3787.2,7574.4,14,0
2869,20200003343,AYW14222010002,A. A. MINERAL LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,DZORWULU,3787.2,3787.2,7574.4,14,0
2870,20200003344,AYW13105003002,AZUMAH RESOURCES GH. LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,7574.4,13,0
2871,20200003345,AYW13128012002,MENZBANC GHANA CO. LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,7574.4,13,0
2872,20200003346,AYW13127001001,ITALTEC GH. LIMITED,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,7574.4,13,0
2873,20200003347,AYW13071001036,SAHARA NATURAL RES. LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,7574.4,13,0
2874,20200003348,AYW14164006004,NEWMONT GHANA  GOLD LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,A,21,179,904,904,904,904,AIRPORT CAPITAL PLAC,15200,15200,30400,14,0
2875,20200003349,AYW13109006001,SUPREME GROUP APPARTMENT,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,7574.4,13,0
2876,20200003350,AYW14129001001,WEST AFRICAN GAS PIPE LINE,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,DZORWULU,6500,6500,13000,14,0
2877,20200003351,AYW14200001001,ANGLOGOLD ASHANTI,MINERAL AND OIL MINING/MARKETING FIRMS,A,21,179,904,904,904,904,AIRPORT WEST,15200,15200,30400,14,0
2878,20200003352,AYW14170013001,ORICA GHANA LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,7574.4,14,0
2879,20200003353,AYW14066005003,ADANSI GOLD COMPANY (GH) LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,ROMAN RIDGE,3787.2,3787.2,7574.4,14,0
2880,20200003354,AYW14176001001,ASANKO GOLD GHANA LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST,3787.2,3787.2,7574.4,14,0
2881,20200003355,AYW14178014005,AFRICAN MINING SERVICES GHANA,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST,3787.2,3787.2,7574.4,14,0
2882,20200003356,AYW14104004003,MENZBANC GH. CO. LTD,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,DZORWULU,3787.2,3787.2,7574.4,14,0
2883,20200003357,AYW14020020004,D S G DRILLING,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,ABELENKPE,3787.2,3787.2,7574.4,14,0
2884,20200003358,AYW14202004003,RIGWORLD INTERNATIONAL SERVICE LIMITED,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT WEST,6500,6500,13000,14,0
2885,20200003359,AYW14215005001,GHANA CONSOLIDATED DDIAMONDS,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,ROMAN RIDGE,3787.2,3787.2,7574.4,14,0
2886,20200003360,AYW13106016001,GLORY OIL CO. LTD.,LIQUIFIED PETROLEUM GAS,B,9,89,543,543,543,543,EAST LEGON,400,400,800,13,0
2887,20200003361,AYW14121005001,EPHRAIM GAS,LIQUIFIED PETROLEUM GAS,B,9,89,543,543,543,543,DZORWULU,400,400,800,14,0
2888,20200003362,AYW14163004002,PRIME ATTONEYS,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,1472.8,14,0
2889,20200003363,AYW13123037006,OAK & WUUDS LAW,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,1472.8,13,0
2890,20200003364,AYW13037006010,M M T & ASSOCIATES,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,1472.8,13,0
2891,20200003365,AYW13089006002,AYINE & FELLI LEGAL PRACTITIONER,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,1472.8,13,0
2892,20200003366,AYW13131004001,AGUDA & CO,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,1472.8,13,0
2893,20200003367,AYW13129007001,OWUSU-DAPAA LAW & ASSOCIATION,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,1472.8,13,0
2894,20200003368,AYW13027034002,CROWN LAW CONSULT,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,1472.8,13,0
2895,20200003369,AYW14169008001,AXIS LEGAL,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,1472.8,14,0
2896,20200003370,AYW14201005001,ESTELLE APPIAH LEGISLATIVE COUNCIL,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,ROMAN RIDGE,736.4,736.4,1472.8,14,0
2897,20200003371,AYW14201005002,A & A LAW CONSULT,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,ROMAN RIDGE,736.4,736.4,1472.8,14,0
2898,20200003372,AYW14114012020,F - X LAW & ASSOCIATE,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,1472.8,14,0
2899,20200003373,AYW14121009001,TORPEY & ASSOCIATES,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,1472.8,14,0
2900,20200003374,AYW14003001006,BUBIK ONNY & ASSOCIATES,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,TESANO,736.4,736.4,1472.8,14,0
2901,20200003375,AYW14158004003,STANDFORD LAW,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,1472.8,14,0
2902,20200003376,AYW14153004011,DARKO-KELE DELATAA & COMPANY,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,1472.8,14,0
2903,20200003377,AYW14097017015,GYANDOH ASMAH & CO.,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,1472.8,14,0
2904,20200003378,AYW14056016001,JOYCE AMPOFO ENT.,SECOND-HAND CLOTHING,B,16,156,793,793,793,793,ABELENKPE,200,200,400,14,0
2905,20200003379,AYW14123014002,AGARTHA CENTRE,SECOND-HAND CLOTHING,A,16,156,586,726,791,791,DZORWULU,500,500,1000,14,0
2906,20200003380,AYW13071020002,TOTAL SUPER MARKET,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,EAST LEGON,1213,1213,2426,13,0
2907,20200003381,AYW13026005005,OPTION MART (ALLIED),SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,EAST LEGON,1213,1213,2426,13,0
2908,20200003382,AYW14062003001,GOD WILL PROVIDE PROVISION STORE,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,ABELENKPE,1213,1213,2426,14,0
2909,20200003383,AYW14196003002,TOTAL PETROLEUM GHANA LTD. (TOTAL SHOP),SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,AIRPORT COMMERCIAL,1213,1213,2426,14,0
2910,20200003384,AYW14180001003,KOALA  (AIRPORT BRANCH),SUPERMARKETS/SHOPPING MALL,A,5,51,299,299,299,299,AIRPORT WEST,4851,4851,9702,14,0
2911,20200003385,AYW14181005002,ZARA TRADING LTD.,SUPERMARKETS/SHOPPING MALL,C,5,51,301,301,301,301,AIRPORT WEST,221,221,442,14,0
2912,20200003386,AYW13129012002,SOUL HEALTH & W. CENTRE,TRADITIONAL MEDICAL PRACTITIONERS,B,18,160,833,833,833,833,EAST LEGON,53,53,106,13,0
2913,20200003387,AYW13062019001,GHANA LINK NETWORK SERVICES LTD.,TRADE/CUSTOMS/INSPECT CO.,A,30,218,1112,1112,1112,1112,AMBASSADORIAL ENCLAV,4851,4851,9702,13,0
2914,20200003388,AYW13046024002,TOP IN TOWN,VIDEO SHOWING HOUSES,A,29,212,1081,1081,1081,1081,EAST LEGON,607,607,1214,13,0
2915,20200003389,AYW13050025002,V I P ROOM,VIDEO SHOWING HOUSES,A,29,212,1081,1081,1081,1081,EAST LEGON,607,607,1214,13,0
2916,20200003390,AYW14050016001,SHAFIC SHAARANI,WAREHOUSE (CUSTOMS BONDED),B,31,227,1150,1150,1150,1150,ABELENKPE,7000,7000,14000,14,0
2917,20200003391,AYW13103011001,P. W. GH. LTD,CONTRACTORS/SUPPLIERS (NOTE 3),A,7,79,440,440,440,440,EAST LEGON,5700,5700,11400,13,0
2918,20200003392,AYW13090011001,REIME GHANA LIMITED,CONTRACTORS/SUPPLIERS (NOTE 3),B,7,79,441,441,441,441,EAST LEGON,3600,3600,7200,13,0
2919,20200003393,AYW13093023002,TECBUILD TEL COMPANY LTD.,CONTRACTORS/SUPPLIERS (NOTE 3),B,7,79,441,441,441,441,SHIASHIE,3600,3600,7200,13,0
2920,20200003394,AYW13143009008,COLONIA PROPERTIES,CONTRACTORS/SUPPLIERS (NOTE 3),A,7,79,440,440,440,440,EAST LEGON,5700,5700,11400,13,0
2921,20200003395,AYW13107002001,GHACOS LIMITED,CONTRACTORS/SUPPLIERS (NOTE 3),B,7,79,441,441,441,441,EAST LEGON,3600,3600,7200,13,0
2922,20200003396,AYW14166004001,FRIGO COMPANY LTD.,CONTRACTORS/SUPPLIERS (NOTE 3),D,7,79,443,443,443,443,AIRPORT WEST RES. AR,830,830,1660,14,0
2923,20200003397,AYW14069005004,SAITAMA ENTERPRISE LIMITED,CONTRACTORS/SUPPLIERS (NOTE 3),D,7,79,443,443,443,443,ABELENKPE,830,830,1660,14,0
2924,20200003398,AYW14069002005,ENGINEERS & PLANNERS,CONTRACTORS/SUPPLIERS (NOTE 3),A,7,79,440,440,440,440,ABELENKPE,5700,5700,11400,14,0
2925,20200003399,AYW14005030024,JECSEJ VENTURES,CONTRACTORS/SUPPLIERS (NOTE 3),D,7,79,443,443,443,443,TESANO,830,830,1660,14,0
2926,20200003400,AYW14143009006,COLONIA PROPERTIES,CONTRACTORS/SUPPLIERS (NOTE 3),C,7,79,442,442,442,442,SHIASHIE,1600,1600,3200,14,0
2927,20200003401,AYW14202004011,SIEMENSA PROPRIETARY LTD.,CONTRACTORS/SUPPLIERS (NOTE 3),A,7,79,440,440,440,440,AIRPORT WEST,5700,5700,11400,14,0
2928,20200003402,AYW14028003002,GELCON LIMITED,CONTRACTORS/SUPPLIERS (NOTE 3),C,7,79,442,442,442,442,ABELENKPE,1600,1600,3200,14,0
2929,20200003403,AYW14066002001,SONITRA,CONTRACTORS/SUPPLIERS (NOTE 3),A,7,79,440,440,440,440,ABELENKPE,5700,5700,11400,14,0
2930,20200003404,AYW14097012003,H. A. ONE DAY CONSTRUCTION CO. LTD.,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,ABELENKPE,1650,1650,3300,14,0
2931,20200003405,AYW14104006001,SEG-MAHSEN & CO. LTD.,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,DZORWULU,1650,1650,3300,14,0
2932,20200003406,AYW14068014001,FRANKIPILE GH. LTD.,CONTRACTORS (BUILDING/CIVIL),A,7,79,452,452,452,452,ABELENKPE,3000,3000,6000,14,0
2933,20200003407,AYW14105008002,SEG. MENSAH COMPANY LTD.,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,DZORWULU,1650,1650,3300,14,0
2934,20200003408,AYW14199017002,BENTRY COMPANY LTD.,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,AIRPORT WEST,1650,1650,3300,14,0
2935,20200003409,AYW14097017019,DIVLAGUI GLOAL GROUP LTD,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,DZORWULU,1650,1650,3300,14,0
2936,20200003410,AYW14078001001,STACTLY CORBAN LTD.,CONTRACTORS (BUILDING/CIVIL),A,7,79,452,452,452,452,DZORWULU,3000,3000,6000,14,0
2937,20200003411,AYW14177024008,CONFRASILVAS GHANA LIMITED,CONTRACTORS (BUILDING/CIVIL),A,7,79,452,452,452,452,AIRPORT WEST,3000,3000,6000,14,0
2938,20200003412,AYW13037109001,MALIBU GHANA LIMITED,CONTRACTORS (BUILDING/CIVIL),B,7,78,429,429,429,429,,526,526,1052,13,0
2939,20200003413,AYW13038021001,ROM CONSULTS,CONTRACTORS- BUILDING/CIVIL WORKS,A,7,78,429,429,429,429,EAST LEGON,526,526,1052,13,0
2940,20200003414,AYW14176012002,JACOBSEN ELEKTRO,CONTRACTORS- BUILDING/CIVIL WORKS,A,7,78,429,429,429,429,AIRPORT HILL RES. AR,526,526,1052,14,0
2941,20200003415,AYW14177016001,B. APPAH ELECTRICALS LTD.,CONTRACTORS- BUILDING/CIVIL WORKS,A,7,78,429,429,429,429,AIRPORT HILL RES. AR,526,526,1052,14,0
2942,20200003416,AYW14076007001,SO-ELECT GHANA LIMITED,CONTRACTORS- BUILDING/CIVIL WORKS,A,7,78,429,429,429,429,ABELENKPE,526,526,1052,14,0
2943,20200003417,AYW14002012002,DEMAKEM CO. LTD.,CONTRACTORS- BUILDING/CIVIL WORKS,D,7,78,428,428,428,428,TESANO,100,100,200,14,0
2944,20200003418,AYW14159015001,G. K. L GHANA,CONTRACTORS- BUILDING/CIVIL WORKS,A,7,78,429,429,429,429,AIRPORT WEST,526,526,1052,14,0
2945,20200003419,AYW14113018008,PERFECT VETERNARY CENTRE,PRIVATE VETINARY SERVICES,B,2,18,59,59,59,59,DZORWULU,700,700,1400,14,0
2946,20200003420,AYW14198008001,SPECIAL ANIMAL SERVICES GH. LTD.,PRIVATE VETINARY SERVICES,B,2,18,59,59,59,59,AIRPORT WEST,700,700,1400,14,0
2947,20200003421,AYW14123014001,VILLAGE PETS BREEDING CENTRE,PRIVATE VETINARY SERVICES,B,2,18,59,59,59,59,DZORWULU,700,700,1400,14,0
2948,20200003422,AYW14015024001,UNIVERSAL INTERNET CAFAINE,INTERNET CAF�,D,6,61,343,343,343,343,TESANO,88,88,176,14,0
2949,20200003423,AYW14040025001,MBH INTERNET CAFE,INTERNET CAF�,D,6,61,343,343,343,343,ABELENKPE,88,88,176,14,0
2950,20200003424,AYW14153002001,CASSBA INTERNET CAFE,INTERNET CAF�,B,6,61,341,341,341,341,AIRPORT WEST,551,551,1102,14,0
2951,20200003425,AYW14009009011,AMASCO SCORE,INTERNET CAF�,D,6,61,343,343,343,343,TESANO,88,88,176,14,0
2952,20200003426,AYW14066004001,KASAPA TELECOM LIMITED,TELEPHONE COMPANIES (CELLULAR),F,6,71,391,391,391,391,ABELENKPE,16499.98,16499.98,32999.96,14,0
2953,20200003427,AYW12102001004,GULF CONSOLIDATED LTD.,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,ABELENKPE,2500,2500,5000,12,0
2954,20200003428,AYW13106021001,NELLSAPON COMPANY LTD.,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,EAST LEGON,2500,2500,5000,13,0
2955,20200003429,AYW13142001001,FLORA LEGACY APARTMENT,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,EAST LEGON,2500,2500,5000,13,0
2956,20200003430,AYW14024002003,MODTAY PROPERTIES,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,ABELENKPE,2500,2500,5000,14,0
2957,20200003431,AYW14201004001,REGUS,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,ROMAN RIDGE,2500,2500,5000,14,0
2958,20200003432,AYW14128031001,SAM LUXURY APARTMENT,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,DZORWULU,2500,2500,5000,14,0
2959,20200003433,AYW14110012002,EARL BEAM GROUP HOLIDINGS,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,DZORWULU,2500,2500,5000,14,0
2960,20200003434,AYW14175014002,IMPERIAL SQUARE,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,AIRPORT WEST,4500,4500,9000,14,0
2961,20200003435,AYW14161013001,OFFICE SPACE WORLD,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,ROMAN RIDGE,2500,2500,5000,14,0
2962,20200003436,AYW14097003002,FUN DOME,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,DZORWULU,4500,4500,9000,14,0
2963,20200003437,AYW14202004016,HTG MANAGED SERVICCES LIMITED,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,AIRPORT CAPITAL PLAC,2500,2500,5000,14,0
2964,20200003438,AYW14018010003,MARWAKO FAST FOODS LIMITED,FAST FOOD,A,29,212,1063,1063,1063,1063,ABELENKPE,1103,1103,2206,14,0
2965,20200003439,AYW13050026006,GEORGE NEWNES,WORKSHOP/ OFFICE OF GOLDSMITH,B,3,24,91,100,100,100,EAST LEGON,84.16,84.16,168.32,13,0
2966,20200003440,AYW14012015003,TALENT ELECTRICAL ENGINEERING,WORKSHOP/ OFFICE OF GOLDSMITH,B,3,24,91,100,100,100,TESANO,84.16,84.16,168.32,14,0
2967,20200003441,AYW14110019001,TJN2 COMPANY LIMITED,CONTRACT SUPPLIERS,A,7,79,468,468,468,468,ABELENKPE,300,300,600,14,0
2968,20200003442,AYW13109001003,GHANA COMMUNITY RADIO NETWORK,MEDIA CONSULTANTS,A,6,67,369,369,369,369,EAST LEGON,331,331,662,13,0
2969,20200003443,AYW14064002002,UNTRACE LTD,MEDIA CONSULTANTS,A,6,67,369,369,369,369,ACHIMOTA FOREST RESI,331,331,662,14,0
2970,20200003444,AYW14120001008,VISION IN MOTION,MEDIA CONSULTANTS,A,6,67,369,369,369,369,DZORWULU,331,331,662,14,0
2971,20200003445,AYW13106016002,SENAM BEAUTY PALOUR,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,EAST LEGON,485,485,970,13,0
2972,20200003446,AYW13007025004,TRINITY COLLEGE,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,TRINITY COLLEGE,485,485,970,13,0
2973,20200003447,AYW13056033002,NIDBE SPA,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,EAST LEGON,485,485,970,13,0
2974,20200003448,AYW13052010004,SHEELZ,BEAUTY COMPLEX (E.G. FC BEAUTY),C,3,30,156,156,156,156,EAST LEGON,166,166,332,13,0
2975,20200003449,AYW13139014001,WELLNESS INST.,BEAUTY COMPLEX (E.G. FC BEAUTY),A,3,30,154,154,154,154,EAST LEGON,938,938,1876,13,0
2976,20200003450,AYW14196004012,THE SALON,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,AIRPORT WEST RES. AR,485,485,970,14,0
2977,20200003451,AYW14156012003,LEBARA GHANA LIMITED,TELECOM COMPANIES(OFFICES),A,6,71,388,388,388,388,AIRPORT WEST,909,909,1818,14,0
2978,20200003452,AYW13030014001,24 SEVEN TRANSPORT SERVICES,TRANSPORT COMPANIES / SERVICES,E,30,226,1148,1148,1148,1148,EAST LEGON,1000,1000,2000,13,0
2979,20200003453,AYW14116001024,AFROCOM GHANA LTD.,MONEY TRANSFER AGENCIES,B,13,113,449,574,639,639,DZORWULU,1213,1213,2426,14,0
2980,20200003454,AYW14156012004,ZEEPAY  GHANA LIMITED,MONEY TRANSFER AGENCIES,C,13,113,450,575,640,640,AIRPORT WEST,500,500,1000,14,0
2981,20200003455,AYW14117007001,ALTRA ELECTRICALS,WAREHOUSE (UNBOUNDED),B,31,227,1154,1154,1154,1154,DZORWULU,925.76,925.76,1851.52,14,0
2982,20200003456,AYW14043012001,SINOPHAM GHANA LTD.,WAREHOUSE (UNBOUNDED),B,31,227,1154,1154,1154,1154,ABELENKPE,925.76,925.76,1851.52,14,0
2983,20200003457,AYW14078002001,NEWMONT GHANA LTD.,WAREHOUSE (UNBOUNDED),A,31,227,1153,1153,1153,1153,DZORWULU,2104,2104,4208,14,0
2984,20200003458,AYW13147008023,U C L GHANA,PIVATE REVENUE AGENTS,A,7,79,323,402,467,467,EAST LEGON,300,300,600,13,0
2985,20200003459,AYW14099014007,VISION EXPRESS OPTICAL,OPTICAL SERVICE,A,18,163,618,775,840,840,DZORWULU,1000,1000,2000,14,0
2986,20200003460,AYW14202004218,RESOURCE BASE INTERNATIONAL LTD,  ,A,9,86,347,458,523,523,AIRPORT,8300,8300,16600,14,0
2987,20200003461,AYW13071007001,PERGERSYS LIMITED,ONLINE SERVICE PROVIDERS,A,5,59,243,298,333,333,,526,526,1052,13,0
2988,20200003462,AYW13077016002,FOREX BEAURUX(MARIA),FOREX BUREAUX / STAND ALONE ATMS,A,13,111,632,632,632,632,,700,700,1400,13,0
2989,20200003463,AYW13069045003,EXCEL LEGAL CONSULTANCY,PRIVATE LEGAL ESTABLISHMENT,A,23,194,979,979,979,979,,607,607,1214,13,0
2990,20200003464,AYW13071007002,THE ARMABIOLLOW GROUP,FAST FOOD,A,29,212,794,985,1067,1067,,263,263,526,13,0
2991,20200003465,AYW13073005002,JUST GRIULLS,FAST FOOD,,29,212,1070,1070,1070,1070,,105,105,210,13,0
2992,20200003466,AYW13013023002,RAHMA PROPERTIES LIMITED,REAL ESTATE AGENTS/AGENCIES,A,11,100,583,583,583,583,,2104,2104,4208,13,0
2993,20200003467,AYW13108014002,KARREAFTY GHANA,REAL ESTATE AGENTS/AGENCIES,B,11,100,584,584,584,584,,526,526,1052,13,0
2994,20200003468,AYW12099017001,PRUDENTIAL LIFE INSURANCE,INSURANE LIFE COMPANIES (INSURANCE),B,13,110,444,562,627,627,NORTH DZORWULU,12600,12600,25200,12,0
2995,20200003469,AYW12099004003,PADEES METAL WORKS,GARAGES,D,3,24,88,91,91,91,NORTH DZORWULU,100,100,200,12,0
2996,20200003470,AYW13050020005,LABRASA,FAST FOOD(LOCAL),A,29,212,1063,1063,1063,1063,LA BAWALESHIE ,63,63,126,13,0
2997,20200003471,AYW13072002001,PERGERSYS LTD.,ONLINE SERVICE PROVIDERS,A,6,66,273,328,363,363,EAST LEGON,4400,4400,8800,13,0
2998,20200003472,AYW13085015002,BIOFEM GHANA LIMITED,IMPORTERS WITH WHOLESALE,B,30,223,1138,1138,1138,1138,PARK STREET,2000,2000,4000,13,0
2999,20200003473,AYW14011020001,TURKISH IMPORT AND TRADING,WAREHOUSE (UNBOUNDED),A,31,227,1153,1153,1153,1153,TESANO,2104,2104,4208,14,0
3000,20200003474,AYW14016031002,CRYSTALERA INTERNET CAFE,INTERNET CAF�,D,6,61,343,343,343,343,ABELENKPE,88,88,176,14,0
3001,20200003475,AYW14017001001,TOTAL SUPERMARKET,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,ABELENKPE,1213,1213,2426,14,0
3002,20200003476,AYW14019001001,JOEPAT FASHION DESIGN ENT.,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,ABELENKPE,370,370,740,14,0
3003,20200003477,AYW14019006001,TITUS CAR DEALERS,GARAGES,D,3,24,88,91,91,91,ABELENKPE,100,100,200,14,0
3004,20200003478,AYW14020020001,CHALLANGE HOUSE,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,ABELENKPE,2500,2500,5000,14,0
3005,20200003479,AYW14033006002,LAST BONE WORLD,SECOND-HAND CLOTHING,B,16,156,793,793,793,793,ABELENKPE,200,200,400,14,0
3006,20200003480,AYW14040006006,EXPRESSO,TELEPHONE COMPANIES (CELLULAR),F,6,71,391,391,391,391,DZORWULU,16499.98,16499.98,32999.96,14,0
3007,20200003481,AYW14043017001,ATIVI CHOP BAR,FAST FOOD,A,29,212,1063,1063,1063,1063,ABELENKPE,1103,1103,2206,14,0
3008,20200003482,AYW14044005005,SAMLINK INTERNET CAFE,INTERNET CAF�,D,6,61,343,343,343,343,ABELENKPE,88,88,176,14,0
3009,20200003483,AYW14047001003,DORA OFORI,DISTRIBUTORS,C,14,116,460,589,654,654,ABELENKPE,230,230,460,14,0
3010,20200003484,AYW14047002001,WISEWAY WINNING VENTURES,SECOND-HAND CLOTHING,B,16,156,793,793,793,793,ABELENKPE,200,200,400,14,0
3011,20200003485,AYW14048001001,HOPPERS CASH & CARRY,DISTRIBUTORS,C,14,116,460,589,654,654,ABELENKPE,230,230,460,14,0
3012,20200003486,AYW14048006001,KEROSMAY CAFE,INTERNET CAF�,D,6,61,343,343,343,343,ABELENKPE,88,88,176,14,0
3013,20200003487,AYW14051008001,HALLMARK OIL LIMITED,WAREHOUSE (UNBOUNDED),B,31,227,1154,1154,1154,1154,ABELENKPE,925.76,925.76,1851.52,14,0
3014,20200003488,AYW14058013003,BLESS FAST FOOD,FAST FOOD,A,29,212,1063,1063,1063,1063,ABELENKPE,1103,1103,2206,14,0
3015,20200003489,AYW14059017001,SOLAR AUTO WORKS,GARAGES,B,3,24,88,89,89,89,ABELENKPE,315.6,315.6,631.2,14,0
3016,20200003490,AYW14060009002,M & M SUMMER CYBER CAFE,INTERNET CAF�,C,6,61,342,342,342,342,ABELENKPE,166,166,332,14,0
3017,20200003491,AYW14071003001,NOVELTY COKES & FAST FOOD,FAST FOOD,A,29,212,1063,1063,1063,1063,ABELENKPE,1103,1103,2206,14,0
3018,20200003492,AYW14076009001,"""D "" DOUBLE ROSES FASHION",FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,ABELENKPE,370,370,740,14,0
3019,20200003493,AYW14090001005,ZIGGUART INVESTMENT LTD.,CONTRACTORS/SUPPLIERS (NOTE 3),D,7,79,443,443,443,443,DZORWULU,830,830,1660,14,0
3020,20200003494,AYW14090017005,OBOUR MINTAH & CO.,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,1472.8,14,0
3021,20200003495,AYW14091015007,M & O CONSULTS,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,1472.8,14,0
